K,dadN,P,Label
9.489227830464353,5.411695265464627e-06,0.0,x70A_0
9.926498728514087,5.141751827683928e-06,0.0,x70A_0
10.127254953313361,5.411695265464627e-06,0.0,x70A_0
10.332071326902044,5.695810810737687e-06,0.0,x70A_0
10.754214635372367,6.640827850634824e-06,0.0,x70A_0
10.86241837715965,6.9894732072734795e-06,0.0,x70A_0
11.082102896870985,7.170600970409605e-06,0.0,x70A_0
11.419988235392314,8.576958985908945e-06,0.0,x70A_0
11.768175454617163,9.027251779484579e-06,0.0,x70A_0
12.126978651471118,9.50118507318144e-06,0.0,x70A_0
12.496721499468874,9.999999999999999e-06,0.0,x70A_0
12.877737540697568,1.1077568505097086e-05,0.0,x70A_0
13.138180426284213,1.165914401179831e-05,0.0,x70A_0
13.606693841876528,1.2271252398511891e-05,0.0,x70A_0
13.951540952988633,1.359356390878524e-05,0.0,x70A_0
14.30512784552188,1.4677992676220675e-05,0.0,x70A_0
14.889600581504252,1.6259646938814786e-05,0.0,x70A_0
15.190731935394968,1.8478497974222908e-05,0.0,x70A_0
16.05061743382444,2.1544346900318823e-05,0.0,x70A_0
15.57572479879557,2.04696827180752e-05,0.0,x70A_0
16.212111036399897,2.3865897868585785e-05,0.0,x70A_0
16.539989203385915,2.5769803745148802e-05,0.0,x70A_0
16.95917755001123,2.854667663497933e-05,0.0,x70A_0
17.652088302694153,3.24422607917163e-05,0.0,x70A_0
17.829695135872708,3.503034741265335e-05,0.0,x70A_0
18.281569700779315,3.9810717055349695e-05,0.0,x70A_0
18.933498688279425,4.2986623470822724e-05,0.0,x70A_0
19.413347974356803,5.0118723362727245e-05,0.0,x70A_0
20.00524697702714,5.551935914386209e-05,0.0,x70A_0
20.615192554138147,6.473082037010408e-05,0.0,x70A_0
21.032119845811557,6.989473207273493e-05,0.0,x70A_0
21.78213468701396,7.943282347242821e-05,0.0,x70A_0
22.11170228073412,8.576958985908945e-05,0.0,x70A_0
22.558895394355776,9.501185073181438e-05,0.0,x70A_0
23.015132663797374,0.0001000000000000001,0.0,x70A_0
23.716847488464456,0.00011659144011798323,0.0,x70A_0
24.31792563692051,0.00012271252398511905,0.0,x70A_0
24.934237468551636,0.00013593563908785255,0.0,x70A_0
25.69446441701389,0.00015448591479026762,0.0,x70A_0
26.214116291826663,0.0001668100537200059,0.0,x70A_0
27.148923454015375,0.00017556762912750016,0.0,x70A_0
27.697990706130806,0.00019448624389373635,0.0,x70A_0
28.258162444501693,0.0002046968271807522,0.0,x70A_0
29.41272224264726,0.00021544346900318845,0.0,x70A_0
30.461593129836643,0.00022675431258708042,0.0,x70A_0
31.39034517286993,0.0002511886431509582,0.0,x70A_0
32.509738982087256,0.0002643761185749101,0.0,x70A_0
33.16722483341833,0.0002782559402207126,0.0,x70A_0
34.00781269409385,0.00030823992397451433,0.0,x70A_0
35.39728921920686,0.00033282981394546233,0.0,x70A_0
36.11317367616685,0.0003503034741265339,0.0,x70A_0
37.40098567127768,0.0003782489906389386,0.0,x70A_0
10.2,1e-05,12.0,x70A_12
10.45,6e-05,12.0,x70A_12
10.7,0.00011,12.0,x70A_12
10.95,0.00016,12.0,x70A_12
11.2,0.00021,12.0,x70A_12
11.45,0.00026000000000000003,12.0,x70A_12
11.7,0.00031000000000000005,12.0,x70A_12
11.95,0.00036,12.0,x70A_12
12.2,0.00041000000000000005,12.0,x70A_12
12.45,0.00046000000000000007,12.0,x70A_12
12.7,0.00051,12.0,x70A_12
12.95,0.0005600000000000001,12.0,x70A_12
13.2,0.0006100000000000001,12.0,x70A_12
13.45,0.0006600000000000001,12.0,x70A_12
13.7,0.00071,12.0,x70A_12
13.95,0.00076,12.0,x70A_12
14.2,0.0008100000000000001,12.0,x70A_12
14.45,0.0008600000000000001,12.0,x70A_12
14.7,0.0009100000000000001,12.0,x70A_12
14.95,0.00096,12.0,x70A_12
15.2,0.00101,12.0,x70A_12
15.45,0.0010600000000000002,12.0,x70A_12
15.7,0.00111,12.0,x70A_12
15.95,0.00116,12.0,x70A_12
16.2,0.0012100000000000001,12.0,x70A_12
16.45,0.00126,12.0,x70A_12
16.7,0.0013100000000000002,12.0,x70A_12
16.95,0.00136,12.0,x70A_12
17.2,0.00141,12.0,x70A_12
17.45,0.0014600000000000001,12.0,x70A_12
17.7,0.0015099999999999998,12.0,x70A_12
17.95,0.00156,12.0,x70A_12
18.2,0.0016099999999999999,12.0,x70A_12
18.45,0.0016599999999999998,12.0,x70A_12
18.7,0.00171,12.0,x70A_12
18.95,0.0017599999999999998,12.0,x70A_12
19.2,0.00181,12.0,x70A_12
19.45,0.0018599999999999999,12.0,x70A_12
19.7,0.0019099999999999998,12.0,x70A_12
19.95,0.00196,12.0,x70A_12
20.2,0.00201,12.0,x70A_12
20.45,0.0020599999999999998,12.0,x70A_12
20.7,0.00211,12.0,x70A_12
20.95,0.00216,12.0,x70A_12
21.2,0.00221,12.0,x70A_12
21.45,0.00226,12.0,x70A_12
21.7,0.00231,12.0,x70A_12
21.95,0.00236,12.0,x70A_12
22.2,0.00241,12.0,x70A_12
22.45,0.00246,12.0,x70A_12
22.7,0.00251,12.0,x70A_12
22.95,0.0025599999999999998,12.0,x70A_12
23.2,0.00261,12.0,x70A_12
23.45,0.00266,12.0,x70A_12
23.7,0.0027099999999999997,12.0,x70A_12
23.95,0.00276,12.0,x70A_12
24.2,0.00281,12.0,x70A_12
24.45,0.00286,12.0,x70A_12
24.7,0.00291,12.0,x70A_12
24.95,0.00296,12.0,x70A_12
26.75,0.0,12.0,x70A_12
26.0,0.0,12.0,x70A_12
10.2,1e-05,21.0,x70A_21
10.45,6e-05,21.0,x70A_21
10.7,0.00011,21.0,x70A_21
10.95,0.00016,21.0,x70A_21
11.2,0.00021,21.0,x70A_21
11.45,0.00026000000000000003,21.0,x70A_21
11.7,0.00031000000000000005,21.0,x70A_21
11.95,0.00036,21.0,x70A_21
12.2,0.00041000000000000005,21.0,x70A_21
12.45,0.00046000000000000007,21.0,x70A_21
12.7,0.00051,21.0,x70A_21
12.95,0.0005600000000000001,21.0,x70A_21
13.2,0.0006100000000000001,21.0,x70A_21
13.45,0.0006600000000000001,21.0,x70A_21
13.7,0.00071,21.0,x70A_21
13.95,0.00076,21.0,x70A_21
14.2,0.0008100000000000001,21.0,x70A_21
14.45,0.0008600000000000001,21.0,x70A_21
14.7,0.0009100000000000001,21.0,x70A_21
14.95,0.00096,21.0,x70A_21
15.2,0.00101,21.0,x70A_21
15.45,0.0010600000000000002,21.0,x70A_21
15.7,0.00111,21.0,x70A_21
15.95,0.00116,21.0,x70A_21
16.2,0.0012100000000000001,21.0,x70A_21
16.45,0.00126,21.0,x70A_21
16.7,0.0013100000000000002,21.0,x70A_21
16.95,0.00136,21.0,x70A_21
17.2,0.00141,21.0,x70A_21
17.45,0.0014600000000000001,21.0,x70A_21
17.7,0.0015099999999999998,21.0,x70A_21
17.95,0.00156,21.0,x70A_21
18.2,0.0016099999999999999,21.0,x70A_21
18.45,0.0016599999999999998,21.0,x70A_21
18.7,0.00171,21.0,x70A_21
18.95,0.0017599999999999998,21.0,x70A_21
19.2,0.00181,21.0,x70A_21
19.45,0.0018599999999999999,21.0,x70A_21
19.7,0.0019099999999999998,21.0,x70A_21
19.95,0.00196,21.0,x70A_21
20.2,0.00201,21.0,x70A_21
20.45,0.0020599999999999998,21.0,x70A_21
20.7,0.00211,21.0,x70A_21
20.95,0.00216,21.0,x70A_21
21.2,0.00221,21.0,x70A_21
21.45,0.00226,21.0,x70A_21
21.7,0.00231,21.0,x70A_21
21.95,0.00236,21.0,x70A_21
22.2,0.00241,21.0,x70A_21
22.45,0.00246,21.0,x70A_21
22.7,0.00251,21.0,x70A_21
22.95,0.0025599999999999998,21.0,x70A_21
23.2,0.00261,21.0,x70A_21
23.45,0.00266,21.0,x70A_21
23.7,0.0027099999999999997,21.0,x70A_21
23.95,0.00276,21.0,x70A_21
24.2,0.00281,21.0,x70A_21
24.45,0.00286,21.0,x70A_21
24.7,0.00291,21.0,x70A_21
24.95,0.00296,21.0,x70A_21
25.25,0.0,21.0,x70A_21
27.0,0.0,21.0,x70A_21
10.332071326902044,0.00014307229891937572,34.0,x70A_34
10.488397414050068,0.00015058363542798416,34.0,x70A_34
10.647088742856788,0.00015848931924611142,34.0,x70A_34
10.754214635372367,0.0001668100537200059,34.0,x70A_34
10.86241837715965,0.00018478497974222925,34.0,x70A_34
11.026768710034801,0.00019448624389373635,34.0,x70A_34
11.082102896870985,0.00021000141557086564,34.0,x70A_34
11.193605692841693,0.00021544346900318845,34.0,x70A_34
11.306230376384189,0.00022675431258708042,34.0,x70A_34
11.419988235392314,0.00024484367468222265,34.0,x70A_34
11.534890671333274,0.0002643761185749101,34.0,x70A_34
11.650949200390365,0.0002782559402207126,34.0,x70A_34
11.768175454617163,0.00029286445646252375,34.0,x70A_34
11.946230054076004,0.00030823992397451433,34.0,x70A_34
12.126978651471118,0.0003244226079171633,34.0,x70A_34
12.248994485370108,0.0003414548873833604,34.0,x70A_34
12.372237983978497,0.00035938136638046295,34.0,x70A_34
12.496721499468874,0.0003782489906389386,34.0,x70A_34
12.622457508295454,0.0003880510732210184,34.0,x70A_34
12.749458612444547,0.00040842386526745257,34.0,x70A_34
12.877737540697568,0.00041900791057866737,34.0,x70A_34
13.007307149906866,0.0004410059454176741,34.0,x70A_34
13.204110033543856,0.0004641588833612782,34.0,x70A_34
13.336963446000505,0.0004885273571519392,34.0,x70A_34
13.538754088359013,0.0005141751827683928,34.0,x70A_34
13.674974528546237,0.0005274997063702619,34.0,x70A_34
13.812565553368037,0.000555193591438621,34.0,x70A_34
14.021552140676183,0.0005843414133735175,34.0,x70A_34
14.16263026294988,0.0006150195042752219,34.0,x70A_34
14.376913391925811,0.0006309573444801936,34.0,x70A_34
14.594438662969374,0.0006640827850634851,34.0,x70A_34
14.815255130269925,0.0006989473207273493,34.0,x70A_34
14.964319110763276,0.000735642254459642,34.0,x70A_34
15.114882901424263,0.0007547059566968911,34.0,x70A_34
15.343573783138172,0.0007742636826811277,34.0,x70A_34
15.57572479879557,0.0008149127469020749,34.0,x70A_34
15.811388300841895,0.0008576958985908946,34.0,x70A_34
16.05061743382444,0.0009027251779484579,34.0,x70A_34
16.212111036399897,0.0009501185073181439,34.0,x70A_34
16.37522951002972,0.001000000000000001,34.0,x70A_34
16.62298966135469,0.0010525002852777338,34.0,x70A_34
16.790242198339943,0.0010797751623277117,34.0,x70A_34
17.129812648041572,0.001107756850509711,34.0,x70A_34
17.38898977720779,0.0011659144011798334,34.0,x70A_34
17.740669461678763,0.0012271252398511916,34.0,x70A_34
17.829695135872708,0.0012915496650148853,34.0,x70A_34
18.190287766033205,0.0012915496650148853,34.0,x70A_34
18.46551007340893,0.0013250193550567498,34.0,x70A_34
18.744896543520916,0.0013945832491957465,34.0,x70A_34
19.02851018089616,0.0014307229891937587,34.0,x70A_34
19.413347974356803,0.0015058363542798416,34.0,x70A_34
19.805968832590654,0.0016259646938814837,34.0,x70A_34
20.409838562552505,0.0019448624389373655,34.0,x70A_34
20.105636683480625,0.001755676291275003,34.0,x70A_34
21.137662573668923,0.002046968271807524,34.0,x70A_34
22.222662535496244,0.002448436746822229,34.0,x70A_34
23.598426600091138,0.0028546676634979362,34.0,x70A_34
24.68586020125883,0.003082399239745147,34.0,x70A_34
25.185113788597892,0.003503034741265342,34.0,x70A_34
26.87848504875214,0.003593813663804633,34.0,x70A_34
10.026374390446584,9.261187281287937e-06,5.5,x70A_5
10.178075228269742,1.2271252398511891e-05,5.5,x70A_5
10.383919404996524,1.6681005372000593e-05,5.5,x70A_5
10.541029962839547,2.3865897868585785e-05,5.5,x70A_5
10.700517631523196,3.1622776601683795e-05,5.5,x70A_5
10.971710813020255,4.524343346616749e-05,5.5,x70A_5
11.193605692841693,5.994842503189421e-05,5.5,x70A_5
11.419988235392314,7.742636826811277e-05,5.5,x70A_5
11.650949200390365,0.0001000000000000001,5.5,x70A_5
11.946230054076004,0.00012271252398511905,5.5,x70A_5
12.187833877521907,0.00015848931924611142,5.5,x70A_5
12.434323962762495,0.00018011735283341348,5.5,x70A_5
12.685799130892496,0.00021544346900318845,5.5,x70A_5
12.942360201591498,0.00024484367468222265,5.5,x70A_5
13.138180426284213,0.0002782559402207126,5.5,x70A_5
13.471153565676088,0.00031622776601683826,5.5,x70A_5
13.743597859228244,0.0003686945064519577,5.5,x70A_5
14.091914656322258,0.00041900791057866737,5.5,x70A_5
14.449059170319854,0.0004641588833612782,5.5,x70A_5
14.889600581504252,0.0005411695265464643,5.5,x70A_5
15.266961592622355,0.0005994842503189415,5.5,x70A_5
15.653886415202852,0.0006640827850634851,5.5,x70A_5
16.05061743382444,0.000735642254459642,5.5,x70A_5
16.539989203385915,0.0008149127469020749,5.5,x70A_5
17.044281565867337,0.0009261187281287946,5.5,x70A_5
17.5639494394044,0.001000000000000001,5.5,x70A_5
18.009088963691845,0.001107756850509711,5.5,x70A_5
18.55817312015424,0.0012271252398511916,5.5,x70A_5
19.02851018089616,0.0012915496650148853,5.5,x70A_5
19.805968832590654,0.0014677992676220704,5.5,x70A_5
20.409838562552505,0.0015848931924611156,5.5,x70A_5
21.243734932751526,0.0018478497974222944,5.5,x70A_5
22.001296063010432,0.002154434690031887,5.5,x70A_5
23.015132663797374,0.0023865897868585832,5.5,x70A_5
24.196503497712435,0.0027825594022071287,5.5,x70A_5
25.69446441701389,0.0038805107322101877,5.5,x70A_5
11.306230376384189,6.640827850634851e-05,5.5,x70A_5
11.082102896870985,5.141751827683928e-05,5.5,x70A_5
10.916927826281183,4.0842386526745174e-05,5.5,x70A_5
10.916927826281183,3.6869450645195736e-05,5.5,x70A_5
10.647088742856788,2.854667663497933e-05,5.5,x70A_5
10.593926630643853,2.643761185749101e-05,5.5,x70A_5
10.541029962839547,1.8478497974222908e-05,5.5,x70A_5
10.541029962839547,2.04696827180752e-05,5.5,x70A_5
10.229150527944913,1.325019355056747e-05,5.5,x70A_5
10.332071326902044,1.4307229891937557e-05,5.5,x70A_5
11.827230145655912,0.00010525002852777338,5.5,x70A_5
12.006178253152564,0.00013593563908785255,5.5,x70A_5
11.534890671333274,8.149127469020748e-05,5.5,x70A_5
12.559432157547896,0.00019448624389373635,5.5,x70A_5
12.372237983978497,0.0001668100537200059,5.5,x70A_5
12.126978651471118,0.00014677992676220705,5.5,x70A_5
13.336963446000505,0.00029286445646252375,5.5,x70A_5
13.606693841876528,0.00033282981394546233,5.5,x70A_5
14.30512784552188,0.0004298662347082281,5.5,x70A_5
13.951540952988633,0.0003880510732210184,5.5,x70A_5
14.667676019894358,0.0005011872336272725,5.5,x70A_5
15.57572479879557,0.0006309573444801936,5.5,x70A_5
16.37522951002972,0.0007742636826811277,5.5,x70A_5
18.281569700779315,0.0011659144011798334,5.5,x70A_5
17.829695135872708,0.0010525002852777338,5.5,x70A_5
20.92710410467114,0.0017113283041617828,5.5,x70A_5
19.413347974356803,0.001359356390878527,5.5,x70A_5
22.558895394355776,0.0022675431258708046,5.5,x70A_5
21.673374037372053,0.0019448624389373655,5.5,x70A_5
23.716847488464456,0.00257698037451488,5.5,x70A_5
10.2,1e-05,7.0,x70A_7
10.45,6e-05,7.0,x70A_7
10.7,0.00011,7.0,x70A_7
10.95,0.00016,7.0,x70A_7
11.2,0.00021,7.0,x70A_7
11.45,0.00026000000000000003,7.0,x70A_7
11.7,0.00031000000000000005,7.0,x70A_7
11.95,0.00036,7.0,x70A_7
12.2,0.00041000000000000005,7.0,x70A_7
12.45,0.00046000000000000007,7.0,x70A_7
12.7,0.00051,7.0,x70A_7
12.95,0.0005600000000000001,7.0,x70A_7
13.2,0.0006100000000000001,7.0,x70A_7
13.45,0.0006600000000000001,7.0,x70A_7
13.7,0.00071,7.0,x70A_7
13.95,0.00076,7.0,x70A_7
14.2,0.0008100000000000001,7.0,x70A_7
14.45,0.0008600000000000001,7.0,x70A_7
14.7,0.0009100000000000001,7.0,x70A_7
14.95,0.00096,7.0,x70A_7
15.2,0.00101,7.0,x70A_7
15.45,0.0010600000000000002,7.0,x70A_7
15.7,0.00111,7.0,x70A_7
15.95,0.00116,7.0,x70A_7
16.2,0.0012100000000000001,7.0,x70A_7
16.45,0.00126,7.0,x70A_7
16.7,0.0013100000000000002,7.0,x70A_7
16.95,0.00136,7.0,x70A_7
17.2,0.00141,7.0,x70A_7
17.45,0.0014600000000000001,7.0,x70A_7
17.7,0.0015099999999999998,7.0,x70A_7
17.95,0.00156,7.0,x70A_7
18.2,0.0016099999999999999,7.0,x70A_7
18.45,0.0016599999999999998,7.0,x70A_7
18.7,0.00171,7.0,x70A_7
18.95,0.0017599999999999998,7.0,x70A_7
19.2,0.00181,7.0,x70A_7
19.45,0.0018599999999999999,7.0,x70A_7
19.7,0.0019099999999999998,7.0,x70A_7
19.95,0.00196,7.0,x70A_7
20.2,0.00201,7.0,x70A_7
20.45,0.0020599999999999998,7.0,x70A_7
20.7,0.00211,7.0,x70A_7
20.95,0.00216,7.0,x70A_7
21.2,0.00221,7.0,x70A_7
21.45,0.00226,7.0,x70A_7
21.7,0.00231,7.0,x70A_7
21.95,0.00236,7.0,x70A_7
22.2,0.00241,7.0,x70A_7
22.45,0.00246,7.0,x70A_7
22.7,0.00251,7.0,x70A_7
22.95,0.0025599999999999998,7.0,x70A_7
23.2,0.00261,7.0,x70A_7
23.45,0.00266,7.0,x70A_7
23.7,0.0027099999999999997,7.0,x70A_7
23.95,0.00276,7.0,x70A_7
24.2,0.00281,7.0,x70A_7
24.45,0.00286,7.0,x70A_7
24.7,0.00291,7.0,x70A_7
24.95,0.00296,7.0,x70A_7
26.5,0.0,7.0,x70A_7
26.75,0.0,7.0,x70A_7
10.2,1e-05,9.0,x70A_9
10.45,6e-05,9.0,x70A_9
10.7,0.00011,9.0,x70A_9
10.95,0.00016,9.0,x70A_9
11.2,0.00021,9.0,x70A_9
11.45,0.00026000000000000003,9.0,x70A_9
11.7,0.00031000000000000005,9.0,x70A_9
11.95,0.00036,9.0,x70A_9
12.2,0.00041000000000000005,9.0,x70A_9
12.45,0.00046000000000000007,9.0,x70A_9
12.7,0.00051,9.0,x70A_9
12.95,0.0005600000000000001,9.0,x70A_9
13.2,0.0006100000000000001,9.0,x70A_9
13.45,0.0006600000000000001,9.0,x70A_9
