K,dadN,P,Label
10.5,7.971585509590484e-05,20.68,x52_20_pfff
10.570469798657719,8.866590199436974e-05,20.68,x52_20_pfff
10.640939597315436,9.77617781532297e-05,20.68,x52_20_pfff
10.711409395973154,0.00010700651805778925,20.68,x52_20_pfff
10.781879194630873,0.00011640291644409502,20.68,x52_20_pfff
10.85234899328859,0.00012595353225256488,20.68,x52_20_pfff
10.922818791946309,0.00013566069258161729,20.68,x52_20_pfff
10.993288590604028,0.00014552649664129958,20.68,x52_20_pfff
11.063758389261745,0.00015555281970691616,20.68,x52_20_pfff
11.134228187919463,0.00016574131707265845,20.68,x52_20_pfff
11.20469798657718,0.00017609342800523292,20.68,x52_20_pfff
11.275167785234899,0.00018661037969749006,20.68,x52_20_pfff
11.345637583892618,0.00019729319122205292,20.68,x52_20_pfff
11.416107382550335,0.00020814267748494578,20.68,x52_20_pfff
11.486577181208053,0.0002191594531792242,20.68,x52_20_pfff
11.557046979865772,0.00023034393673860177,20.68,x52_20_pfff
11.62751677852349,0.00024169635429108,20.68,x52_20_pfff
11.697986577181208,0.0002532167436125778,20.68,x52_20_pfff
11.768456375838927,0.0002649049580805583,20.68,x52_20_pfff
11.838926174496644,0.00027676067062765944,20.68,x52_20_pfff
11.909395973154362,0.0002887833776953221,20.68,x52_20_pfff
11.979865771812081,0.0003009724031874185,20.68,x52_20_pfff
12.050335570469798,0.000313326902423881,20.68,x52_20_pfff
12.120805369127517,0.0003258458660943321,20.68,x52_20_pfff
12.191275167785236,0.00033852812421171144,20.68,x52_20_pfff
12.261744966442953,0.00035137235006590527,20.68,x52_20_pfff
12.332214765100671,0.0003643770641773763,20.68,x52_20_pfff
12.40268456375839,0.00037754063825079043,20.68,x52_20_pfff
12.473154362416107,0.0003908612991286469,20.68,x52_20_pfff
12.543624161073826,0.00040433713274490746,20.68,x52_20_pfff
12.614093959731544,0.0004179660880786235,20.68,x52_20_pfff
12.684563758389261,0.0004317459811075657,20.68,x52_20_pfff
12.75503355704698,0.00044567449876185404,20.68,x52_20_pfff
12.825503355704697,0.0004597492028775838,20.68,x52_20_pfff
12.895973154362416,0.00047396753415045726,20.68,x52_20_pfff
12.966442953020135,0.0004883268160894103,20.68,x52_20_pfff
13.036912751677853,0.0005028242589702421,20.68,x52_20_pfff
13.10738255033557,0.0005174569637892434,20.68,x52_20_pfff
13.177852348993289,0.000532221926216827,20.68,x52_20_pfff
13.248322147651006,0.0005471160405511534,20.68,x52_20_pfff
13.318791946308725,0.0005621361036717632,20.68,x52_20_pfff
13.389261744966444,0.0005772788189932024,20.68,x52_20_pfff
13.45973154362416,0.0005925408004186532,20.68,x52_20_pfff
13.53020134228188,0.0006079185762935635,20.68,x52_20_pfff
13.600671140939598,0.000623408593359273,20.68,x52_20_pfff
13.671140939597315,0.0006390072207066437,20.68,x52_20_pfff
13.741610738255034,0.0006547107537296899,20.68,x52_20_pfff
13.812080536912752,0.0006705154180792037,20.68,x52_20_pfff
13.88255033557047,0.0006864173736163863,20.68,x52_20_pfff
13.953020134228188,0.0007024127183664769,20.68,x52_20_pfff
14.023489932885905,0.0007184974924723791,20.68,x52_20_pfff
14.093959731543624,0.0007346676821482925,20.68,x52_20_pfff
14.164429530201343,0.0007509192236333396,20.68,x52_20_pfff
14.234899328859061,0.0007672480071451949,20.68,x52_20_pfff
14.305369127516778,0.000783649880833714,20.68,x52_20_pfff
14.375838926174497,0.0008001206547345631,20.68,x52_20_pfff
14.446308724832214,0.0008166561047228457,20.68,x52_20_pfff
