K,dadN,P,Label
5.935570469798658,1.4377616548395876e-06,1.7,xxx100_1_pff
6.1140939597315445,2.124870277526471e-06,1.7,xxx100_1_pff
6.29261744966443,1.978027611045151e-06,1.7,xxx100_1_pff
6.471140939597316,1.7112712763499055e-06,1.7,xxx100_1_pff
6.649664429530202,1.6375360855529816e-06,1.7,xxx100_1_pff
6.828187919463088,1.8312776376000202e-06,1.7,xxx100_1_pff
7.006711409395973,2.2467975616831653e-06,1.7,xxx100_1_pff
7.18523489932886,2.797304483465778e-06,1.7,xxx100_1_pff
7.363758389261745,3.401842011925343e-06,1.7,xxx100_1_pff
7.542281879194631,4.007842461848727e-06,1.7,xxx100_1_pff
7.720805369127517,4.596724818898797e-06,1.7,xxx100_1_pff
7.899328859060404,5.179031265726755e-06,1.7,xxx100_1_pff
8.07785234899329,5.784374264469592e-06,1.7,xxx100_1_pff
8.256375838926175,6.4501517956866916e-06,1.7,xxx100_1_pff
8.43489932885906,7.211723724568091e-06,1.7,xxx100_1_pff
8.613422818791946,8.095618362598034e-06,1.7,xxx100_1_pff
8.791946308724832,9.116406561420745e-06,1.7,xxx100_1_pff
8.970469798657719,1.0277162633074972e-05,1.7,xxx100_1_pff
9.148993288590605,1.1572926639645282e-05,1.7,xxx100_1_pff
9.32751677852349,1.2996275439409706e-05,1.7,xxx100_1_pff
9.506040268456378,1.4543974708144952e-05,1.7,xxx100_1_pff
9.684563758389263,1.622368976703003e-05,1.7,xxx100_1_pff
9.863087248322149,1.805984601607947e-05,1.7,xxx100_1_pff
10.041610738255034,2.0097917020707776e-05,1.7,xxx100_1_pff
10.22013422818792,2.2406648993514706e-05,1.7,xxx100_1_pff
10.398657718120806,2.5077977259707894e-05,1.7,xxx100_1_pff
10.577181208053691,2.8224630357851562e-05,1.7,xxx100_1_pff
10.755704697986577,3.1975632550234744e-05,1.7,xxx100_1_pff
10.934228187919462,3.647009241488204e-05,1.7,xxx100_1_pff
11.11275167785235,4.184979529584608e-05,1.7,xxx100_1_pff
11.291275167785237,4.825119649731635e-05,1.7,xxx100_1_pff
11.469798657718123,5.579743989310925e-05,1.7,xxx100_1_pff
11.648322147651008,6.459100605065636e-05,1.7,xxx100_1_pff
11.826845637583894,7.47075306555187e-05,1.7,xxx100_1_pff
12.00536912751678,8.619123558131019e-05,1.7,xxx100_1_pff
12.183892617449665,9.905229033670002e-05,1.7,xxx100_1_pff
12.36241610738255,0.00011326628051421853,1.7,xxx100_1_pff
12.540939597315436,0.00012877581209294847,1.7,xxx100_1_pff
12.719463087248323,0.00014549413547637532,1.7,xxx100_1_pff
12.897986577181209,0.0001633105396469478,1.7,xxx100_1_pff
13.076510067114093,0.00018209715230262585,1.7,xxx100_1_pff
13.255033557046982,0.0002017166923872919,1.7,xxx100_1_pff
13.433557046979866,0.0002220306614903182,1.7,xxx100_1_pff
13.612080536912753,0.0002429074328885362,1.7,xxx100_1_pff
13.790604026845639,0.00026422970248518357,1.7,xxx100_1_pff
13.969127516778524,0.00028590080378552464,1.7,xxx100_1_pff
14.14765100671141,0.00030784945693552025,1.7,xxx100_1_pff
14.326174496644295,0.0003300326158777314,1.7,xxx100_1_pff
14.504697986577183,0.000352436192741652,1.7,xxx100_1_pff
14.683221476510068,0.0003750735685850821,1.7,xxx100_1_pff
14.861744966442954,0.0003979819377291534,1.7,xxx100_1_pff
15.04026845637584,0.00042121667196242047,1.7,xxx100_1_pff
15.218791946308725,0.0004448440235097093,1.7,xxx100_1_pff
15.397315436241612,0.00046893260475958706,1.7,xxx100_1_pff
15.575838926174498,0.0004935441817197572,1.7,xxx100_1_pff
15.754362416107384,0.0005187243912103849,1.7,xxx100_1_pff
15.93288590604027,0.0005444940341399582,1.7,xxx100_1_pff
16.111409395973155,0.000570841605323067,1.7,xxx100_1_pff
16.28993288590604,0.0005977176921134207,1.7,xxx100_1_pff
16.468456375838926,0.0006250318091184297,1.7,xxx100_1_pff
16.64697986577181,0.0006526521355509112,1.7,xxx100_1_pff
16.825503355704697,0.0006804084881352967,1.7,xxx100_1_pff
17.004026845637583,0.0007080987003207498,1.7,xxx100_1_pff
17.182550335570472,0.0007354983937948364,1.7,xxx100_1_pff
17.361073825503354,0.0007623739282554812,1.7,xxx100_1_pff
17.539597315436243,0.0007884981085834373,1.7,xxx100_1_pff
17.71812080536913,0.0008136680243863565,1.7,xxx100_1_pff
17.896644295302014,0.0008377242054091121,1.7,xxx100_1_pff
18.0751677852349,0.0008605701078582983,1.7,xxx100_1_pff
18.253691275167785,0.0008821908115177966,1.7,xxx100_1_pff
18.432214765100674,0.0009026697153938982,1.7,xxx100_1_pff
18.61073825503356,0.0009222019793759362,1.7,xxx100_1_pff
18.789261744966446,0.0009411034785606736,1.7,xxx100_1_pff
18.96778523489933,0.0009598141212561607,1.7,xxx100_1_pff
19.146308724832217,0.0009788945349086255,1.7,xxx100_1_pff
19.324832214765102,0.0009990153474381503,1.7,xxx100_1_pff
19.503355704697988,0.001020938583055513,1.7,xxx100_1_pff
19.681879194630874,0.001045491046804,1.7,xxx100_1_pff
19.86040268456376,0.0010735299827808328,1.7,xxx100_1_pff
20.038926174496645,0.0011059017457996274,1.7,xxx100_1_pff
20.21744966442953,0.001143394710299731,1.7,xxx100_1_pff
20.395973154362416,0.0011866881354094165,1.7,xxx100_1_pff
20.5744966442953,0.0012362991899362435,1.7,xxx100_1_pff
20.753020134228187,0.0012925307916294064,1.7,xxx100_1_pff
20.931543624161076,0.0013554233049891012,1.7,xxx100_1_pff
21.11006711409396,0.0014247134431819499,1.7,xxx100_1_pff
21.288590604026847,0.0014998039033775265,1.7,xxx100_1_pff
21.46711409395973,0.0015797473022257495,1.7,xxx100_1_pff
21.645637583892615,0.0016632478415755162,1.7,xxx100_1_pff
21.824161073825508,0.0017486837986148652,1.7,xxx100_1_pff
22.002684563758393,0.0018341533779059284,1.7,xxx100_1_pff
22.18120805369128,0.001917545669124614,1.7,xxx100_1_pff
22.359731543624164,0.0019966374145067556,1.7,xxx100_1_pff
